94;num_6;num_plus,num_enter,num_3,num_2,num_5,num_8,num_9;num_comma,num_1,num_4,num_7,num_slash,num_star,num_minus
95;num_7;num_8,num_5,num_4,page_down,num_lock,num_slash;num_9,num_6,num_2,num_1,end,page_up,num_star
96;num_8;num_9,num_6,num_5,num_4,num_7,num_lock,num_slash,num_star;num_plus,num_enter,num_3,num_2,num_1,page_down,num_minus
97;num_9;num_plus,num_6,num_5,num_8,num_slash,num_star,num_minus;num_enter,num_3,num_2,num_4,num_7,num_lock
98;num_0;num_comma,arrow_right,num_1,num_2,num_3;num_enter,arrow_down,num_4,num_5,num_6
99;num_comma;num_enter,num_0,num_2,num_3;arrow_right,num_1,num_5,num_6,num_plus
100;smaller_than;a,z,left_window,left_ctrl,left_shift,caps_lock,a;x,alt,tab,q,w,s
101;sysmenu;right_ctrl,right_window,minus,right_shift;arrow_left,alt_gr,dot,ö,ä,hipsu,enter
224;left_ctrl;left_window,left_shift,smaller_than;alt,caps_lock,a,z
225;left_shift;smaller_than,left_ctrl,caps_lock,a;z,left_window,tab,q,a
226;alt;space,left_window,z,x;left_ctrl,smaller_than,a,s,d,c
227;left_window;alt,left_ctrl,smaller_than,z;space,left_ctrl,left_shift,a,s,x
228;right_ctrl;arrow_left,sysmenu,right_shift;arrow_down,right_window,minus,ä,hipsu,enter
229;right_shift;right_ctrl,sysmenu,right_window,minus,ä,hipsu,enter;arrow_up,arrow_left,dot,ö,å,tuplapiste,backspace
230;alt_gr;right_window,space,comma,dot;sysmenu,m,k,l,ö,minus
231;right_window;sysmenu,alt_gr,dot,minus,right_shift;right_ctrl,space,comma,l,ö,ä,hipsu
232;space;alt_gr,alt,x,c,v,b,n,m,comma;right_ctrl,left_window,z,s,d,f,g,h,j,k,l,dot
